"Name","MolecularFormula","MolecularWeight","ExactMass","HeavyAtoms","Rings","AromaticRings","MolecularVolume","RotatableBonds","HydrogenBondDonors","HydrogenBondAcceptors","SLogP","SMR","TPSA","Fsp3Carbons","Sp3Carbons","MolecularComplexity"
"Ribostamycin","C17H34N4O10","454.47","454.2275","31","3","0","397.48","6","10","14","-2.07","109.93","266.52","1.00","17","50"
"Sulbenicillin","C16H18N2O7S2","414.45","414.0555","27","3","1","342.09","5","3","9","2.64","98.34","141.08","0.44","7","75"
"Topterone","C22H34O2","330.50","330.2559","24","4","0","352.02","2","1","2","5.34","97.08","37.30","0.86","19","42"
"Estriol_succinate","C26H32O9","488.53","488.2046","35","4","1","458.65","10","3","9","3.98","122.63","147.43","0.62","16","45"
"Disopyramide","C21H29N3O","339.47","339.2311","25","2","2","348.65","8","1","4","4.22","103.76","59.22","0.43","9","58"
"Benzthiazide","C15H14ClN3O4S3","431.94","430.9835","26","3","2","329.60","5","2","7","4.88","104.25","118.69","0.13","2","73"
"Ezetimibe","C24H21F2NO3","409.43","409.1489","30","4","3","364.73","6","2","4","4.89","108.82","60.77","0.21","5","57"
"Thiamphenicol","C14H18Cl2N2O6S","413.27","412.0263","25","1","1","337.97","9","3","8","2.14","94.00","135.79","0.43","6","69"
"Methylergometrine","C20H25N3O2","339.43","339.1947","25","4","2","318.06","4","3","5","2.91","101.13","68.36","0.45","9","70"
"Loxoribine","C13H17N5O6","339.30","339.1179","24","3","2","269.12","4","5","11","0.05","84.41","170.69","0.46","6","76"
"Drostanolone","C20H32O2","304.47","304.2402","22","4","0","320.06","0","1","2","4.49","87.80","37.30","0.95","19","37"
"Cefuzonam","C16H15N7O5S4","513.59","513.0017","32","4","2","385.35","8","3","12","1.60","122.39","172.99","0.31","5","84"
"Dicloxacillin","C19H17Cl2N3O5S","470.33","469.0266","30","4","2","370.78","4","2","8","4.35","113.73","112.74","0.37","7","78"
"Bekanamycin","C18H36N4O11","484.50","484.2381","33","3","0","423.57","6","11","15","-2.43","116.45","286.75","1.00","18","49"
"Furazabol","C20H30N2O2","330.46","330.2307","24","5","1","316.16","0","1","4","4.06","90.72","59.15","0.90","18","55"
"Kanamycin_c","C18H36N4O11","484.50","484.2381","33","3","0","423.57","6","11","15","-2.43","116.45","286.75","1.00","18","48"
"Fumagillin","C26H34O7","458.54","458.2305","33","3","0","464.33","11","1","7","5.63","126.66","97.89","0.54","14","49"
"Fluprednisolone","C21H27FO5","378.43","378.1843","27","4","0","361.88","2","3","5","2.65","97.35","94.83","0.71","15","52"
"Etisomicin","C20H39N5O7","461.55","461.2849","32","3","0","431.37","7","8","12","0.54","121.86","217.86","0.90","18","62"
"Lisuride","C20H26N4O","338.45","338.2107","25","4","2","320.27","5","2","5","4.11","104.06","51.37","0.45","9","65"
"Cilengitide","C27H40N8O7","588.66","588.3020","42","2","1","563.17","10","8","15","-0.25","154.78","235.91","0.52","14","68"
"Acitretin","C21H26O3","326.43","326.1882","24","1","1","353.85","6","1","3","5.17","100.53","46.53","0.29","6","36"
"Drospirenone","C24H30O3","366.49","366.2195","27","7","0","355.69","0","0","3","4.59","100.01","45.44","0.83","20","41"
"Estrofurate","C24H26O4","378.46","378.1831","28","5","2","356.84","3","1","4","4.87","104.95","59.67","0.46","11","51"
"Levocabastine","C26H29FN2O2","420.52","420.2213","31","4","2","409.01","4","1","4","5.75","118.55","64.33","0.46","12","60"
"Nivacortol","C28H31FN2O","430.56","430.2420","32","6","2","412.74","1","1","3","5.84","123.88","38.05","0.54","15","68"
"Deserpidine","C32H38N2O8","578.65","578.2628","42","6","2","534.76","9","1","10","5.42","157.30","104.79","0.50","16","65"
"Epicriptine","C32H43N5O5","577.71","577.3264","42","7","2","534.31","5","3","10","4.37","159.31","120.28","0.66","21","80"
"Ceftibuten","C15H14N4O6S2","410.42","410.0355","27","3","1","332.72","6","4","10","0.81","99.01","162.92","0.27","4","65"
"Dimyristoyl_lecithin","C36H72NO8P","677.93","677.4996","46","0","0","727.23","36","0","9","10.48","187.88","111.19","0.94","34","49"
"Tocofibrate","C39H59ClO4","627.34","626.4102","44","3","2","656.27","17","0","4","12.12","185.54","46.83","0.67","26","49"
"Paramethasone","C24H31FO6","434.50","434.2105","31","4","0","419.93","4","2","6","3.47","111.45","100.90","0.71","17","49"
"Cortivazol","C32H38N2O5","530.65","530.2781","39","6","2","508.39","5","2","7","5.16","148.19","101.65","0.53","17","69"
"Samixogrel","C25H25ClN2O4S","485.00","484.1224","33","3","3","433.12","10","2","6","6.31","130.12","96.36","0.20","5","72"
