"CompoundID","PathLengthFingerprints"
"Lubiprostone","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000000000001010000010100000000001000000000000000000100000100000000000001000010000000010000000000000000000000011001001000110000000100000000011000000000000000000000000000000001000000000000000000000000000000000001000000001001000000000000000000000000100000000000000000010100000000100000000000000000000000000000000000000000000000100010010000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000100000000000000000000100000000000100000010000000000000000000010000000000000000000000000000000010100000000000000000100000000000000000000000000000000000001001000000000010000000000000000000001000000010010000001000000101000000000000000000000000000000000100001000000000000000000001000000001001000000000100000000000000000000000000000001000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001000000001000000010000000000001000000000000000000000000000000000001000000000000010"
"Fluperolone_acetate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000000010000010000010000001000000000000000000100000000110000000001010010000000010000000000000000000000010001001000110000000100000000011000000000110000000010000000000001000000000000000101000000000000000100010100001001000000010000000010000000100000000000000101010100000001100000000000000010000000000000000000000000000000110010010000100000010000101000010000000000000000000010000000000000000000000001000000110010001000000000000000000000000000000000000000000000000000000100000000010001000000000000000000000000000000000000100000000000100000010000000100100000000000000000000000010000000000100000010000000000000000000000000000001000000000000000010000000001001000000010010000000000000000000001000010000000000000000000101000001001000000000000000000000000000000000000000000000000000000010000000000000010100000001010000000010000000000000000000100100000000010000000000000000000000000000000000000000010000000000000000000000000000001000001001000000001000001000010000000000000000000000000000000000101000000000000010"
"Oxytetracycline","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000001001000000110010000000010010000100010001011001100000000010001001001000000010001001000101010011010000000010000000100110001001000100100000100010000011101000000110100011010010100000001001000110100100100000000011000100101110100110000100000101000000000001100100010000100000101000100100000000010000100000110000000100000110000001000111000110010100001000000001000001010010000100000000000000110000000000000101101000110000000110010111000010001000011011100000010110110000001000100001000100000010110001110000001000000100000000011011000001101101000000100000001010000110000000000000010010010000000000000010000100000000000000100001000100000000000001010000011000110100010100001000000100011110110001010000000000010000010000000000000000000101000001101000000010101001000110000000001111110110000100110000000000000001101010000110000011011111000000000000101001000000101100000111000010000000101010100000000000000111001000010000010000110010110000000000111000000001010101100000000000000001001010100000000001010010001100000000100000011001"
"Suloctidil","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000101000001000010010000001010000001001000000000000000000010000000001001001000000000010000000000100000000000000001000000000001000100000000001000000000000000010000000000000000100000000000100000000100011000000000000000000000000010000000000000001000100010000000000000000000000000000000000000000000000000000000000000100000000000010000010000000000011010100000000000000000000000000000000000000000000100000100000000000000100000000000000000010000100000000000000001000000001000000000000000000010000000000100000010000010000000010001000000000100000100000000000000000000000010000000100000000000011000000000000000000100001000000000000000000000000000000010100000001001000000000001010010110001000000000000000010000000000000010000100000000000000000001100010001010000000000000110010000000000000000000000000000000000100000000001010010000000000100000010000000100000001000000001000000000000001000000000000001000000001000000000000010000000000001000000000000100000000001001000000000000000000000001001010001100000000000001000001"
"Hetacillin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100010001100000000001010101000000000000000011010011000000000000100110100011100001000001101000010000010001000001110001001100010001000000001000100000000100111000000000000000001000100000000000100001000000000001010100111000110000000000000000000001010000010000001100100100011000000000001100000000000100000001110000000000100000000100000000000010001010010000000000010100100001110000001000000100000000100000000000000100001110000110000100010100010000000000010000100000010001000011000001011000000000100001000010001001100000000011001000000100010000010000000110000100000110000000000000000000000001000000000000010001000000000000111100001000000000000011000111010100000010110000000011000110000001010010010001011100100010010010000001000000100000111000010011010000001100011001000000100000000110000000100000110100000100010000000000000000000000010000000001000100010010000000000000001000010001000000000000110000000000000001000000000000100000000010100010001000000010110100100001100010100000001000010000000100000000110000100001010000001000000"
"Levopropoxyphene","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000100001000100000110000010000000000010000001001000000001000000010000000000000001000000000000010000001000000000000000010001000000000000001100000000011000000000000000010000000000000100000000000000101001000000011000000000000000000000000100000000000000000000100000000000000001010000000000000000000000000000001100001000000000000010000000000000000000000000000000000000000000000000000100001000001000000000000100010100000000100000101000001000000000000000000000000000000001000000001000000100000100000010000000000000000000000000000010000001011000000100100000010000000000000001000010000000000000000000010000000000000010000100001100000000000000000000000000000000110100001001000000000000010000100000000000000000000000000010000000000000101000000001000000000100000000010000000000000110000000000000000100010000000000000000000000100001010000000000001100000000000000000000001010000000000000100000000000000000010001000000000010000000000010000000000000000000000000100000000000000000001000000001000000001000010001100001001000000000011"
"Quinidine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000001000000001010001000010110000000010000001001000000000000001000010001000000101001000000100011000000000110000000000000001001000000001000100010000011000010000000000010010000100000001000000000100100000000000011000000000000000010000010010000000000000001000100000000000000001000000000000000000000000000010000000000000000001101000000000010010110001000000011000000000100001000000001000000000000000001001000101000100000000100100101000000001000000010000100000100000000001000000001000000000000001000010000000000100000000000110000001000001001000000101100000000011000000100000000010000000000000000001010000000000010000100110001000000000000000000100000000000010100000000101000000000001010010000000000000011000000010000000000000001000100100001001100000000100010001010000000000100110000000100000000001000000000000000000001000000001001000000000000100000010000100100000011000000001000000000000100000000001000101000100000000000000010010000000100000001000000100100001000001000000101000000000000000001000010001100000000000001000001"
"Levomethadyl_acetate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000100000000000000010000010010100000010000001000000000000000000010000000000001001001000000000010000000000000000000000010001001001010000000100000000011000000000000000010000000000000100000000000000001001000000011000000000000000000000000100000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000100000000001000000000000100010101000000100000101000001000000000001000000000000000000001000000001000000000000100000010000000000000000000000010000000000000101000000100100000110000000000000001000010000000001000000000010000000000000000000100001000000000000000000000000001000000110000001001001000000000010000000000000000000000000000000000000000000000100000000000000000000100000000010100000000000110000000000001000000010000000000000000100000000001010000000000101100000000000000100000001010000000000000010000000000000000000001000000000010000000000010000000000000000000000000100000000000000010000000000000000000001000010000100001000000000000010"
"Talampicillin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100010001100001000001000101000000000000000011010001001000010001000010110010110001100011011000100100010000000001100001001000110001000000110000101000000100111000000000000001001000100000000000100000000000100001010100111000100000000000000000100001000000010000001000100100011100000000011110000000000100100001110000000100000010000100000010000010001010010000000000010100100010110000101000101100101100100000000000001110001111000110000100011100000001000000000100100000010101000011000001011000001100000000000011000001101000000111001010000100010001110000000110100110010111000010000001000100010101000000000001110000000000000011111100001000000110000010000111000100100010110100010011000100000001010010010011011100100010000010010001000000100000111000010111010000001100011001000000110000100110010001100000010100000100010001000000000001000000010000000000000110011010100101001000001010010001000000000000110000000000100001000100000010110000010010100000011000000010010101100100100000100000001000000000001100000000110001100001010000001010011"
"Fusidic_acid","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100000001001000000100000001000010010000100000000010000000000000000100000000000000010001000000000010010000000000000000000000010001001000110000000100000000011000000000100000000010000000000001000000000000000101000000000000000100010000001000000000001000000000000000100000000000000101010100000000000010000000000010010000000100000000000000010000000010000000000000000000001000000000000000000000000010000000000000100000000001000000110011001000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000010001000000000100000000000100001010000100000000000100000000000000000010001000000100000000000000000000001000000000000000000000000000000010000000001011000000010010000000010000000000001000110000000000010000000101000001001000000100000000000000000000000000000000000000110000000010000000001000000100000011010000001000000000000000000000100100000010010000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000010000000000000000000000000000000000001100000000000010"
"Metoserpate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0101001000000001100000100110011000010010010100010101001001101000000001001100000000111010001001000000101010010000000010000001001010001001100100000000101010100011000000010100000111110000100000001001001110100000000000000011011000101110100000000010110100000000011001100100000011010000001111100001000000011000100110011000000011001000100000000001110100010000001100000011001001000100101000000011000000010010000000000000100000101000000100110100001101000000000011000010010101001001011000000001100000000000000000011000001010000100000000111010001001000000001000100100000000101000001000000000111100000000000010010010000100000000000101100001000100000000000001100000001110000110001100101000000010000011000000000000000001101000010101000001000000001101100001001000000010100001000010000000001100110100010100010000000000000000000000000100000000001010000001000001100000010010100100111101010000011100000010000010100010001000001010000000011000000110010000001100111000000011100100010001001001001010010010000000000001000010000100101010000000000000"
"Epitetracycline","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000001001000001110010000000010010000100010001011001100000000010001001001000000010001001000101010011010000000110000000100110001001000100100000100010000011101000000110100011010010100000001001000010100100100000000011000100101110000110000100000101000000000001100100010000100000101000100100000000010000100000110000000100000110000001000111000110010100001000000001000001010010000100000000000000110000000000000101101000110000000110010111000010001001011011100000010110110000001000100001000100000010110001110000001000000100000000011011000001101001000001100000001010000110000000000000010010010000000000000010000100000000000000100001000100000000000001010000011000110100010100001000000100011110110001010000000000010000010000000000000000000101000001101000000010101001000110000000001111110110000100110000000000000001101010000110000011011111000000000000101000000000101100000111000010000000101010100000000000000111001000010000010000110010110000000100111000000001010101100000000000000001001010100000000001010010001100000000000000011001"
"Quinidine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000001000000001010001000010110000000010000001001000000000000001000010001000000101001000000100011000000000110000000000000001001000000001000100010000011000010000000000010010000100000001000000000100100000000000011000000000000000010000010010000000000000001000100000000000000001000000000000000000000000000010000000000000000001101000000000010010110001000000011000000000100001000000001000000000000000001001000101000100000000100100101000000001000000010000100000100000000001000000001000000000000001000010000000000100000000000110000001000001001000000101100000000011000000100000000010000000000000000001010000000000010000100110001000000000000000000100000000000010100000000101000000000001010010000000000000011000000010000000000000001000100100001001100000000100010001010000000000100110000000100000000001000000000000000000001000000001001000000000000100000010000100100000011000000001000000000000100000000001000101000100000000000000010010000000100000001000000100100001000001000000101000000000000000001000010001100000000000001000001"
"Boceprevir","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100000000000010000000100001000010010000000010001011001000000000000000100001000001000001001000000100000001000000000001001000010001000000100000010100000000110000000000001000000000000000000000000000000000000000000000001101110000000000000000000010010000000000001100100000010000000000000100000000000001000000100000000000000000000000000000000000100010000000000000000000100001100001000000010000000000000000000000000001000100000100000000110000000000000000010000000000000101000010000000000000000010000000000000001000100000000001000010000000000000100000000000000000000100000001000010000000000000000000000000010001000001000000000000001000000000000010000000000000000000000000000001000010000000000000000001000000000011010010100001001001100000101000000010000000000001000000000100000000000100000000000000000100000000000000000000000000000001000000000000000000000000000000100000100000010001000000000000000000000000000000000010000001100000000010000000000001000000000000000000100001000100000000000000000000000000110000000000000000000000000"
"Amrubicin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000000010000000010100000100100100010011000000001100010001000000001011000001001011010000100000010101000000010000000000011001001001110000001100000000011001100000010110011000010100000000000000000000110000010000011000000000000100000100010001111000000010001100110011010100000000010110001001000011000000001000001001000000010000000010011000000010000001000000100000000010000001100001000000101010010000000000001111000101000000100000011000001001101000000001100010110100010001000100011000100001000100011011000001000000010110000010000100001001111000000100100000110000000001000001010010010000001000000000000000100000010110000110001000100100010000001010000011001010100101001001011000000010010000000000000100000001000001010011000000000000111000000100000100000101010000010100001000000110000000100111000100001001001100000000110010100001010100000000001111001001000011100010011010000100000100000100000000000001100001000100010011101000010000000100000010000000000000100010000010000000001011010001001000001010010101110000000000010010011"
"Clentiazem","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0001001010000110000000100010010100000000000101011000001000000000001000011111100100001100001000000000000010000000000010011000010011001000100100100000000000000011001000000110100010100001100000100100000000000011001000101011001000000000000000000010111010000010000001000110110010000000010010100000000000100100000110000000000001000000101000000001100010010000101000000011010101000100001000000010110000000101010000001000100010101000011100000111000011000000000110000000000100000001011000010001000000000001100010011000000000000000011000010010001000010000000000101100100010001000000000001000011000000100010000000010000000000000000000100001001000000000100000000000000000000110001101101000000000001010010110001010100001100000000110000000000010000101100000000000100001110001000110001010100100110010000100010000010010100100010010000100010000011010010100000001100010010000000010110001010010001100010001001000100000001000001010000000011000000110000000000100110110101110100110000000000000000001000010000001101101101110000100001000001000000010"
"Quinidine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000001000000001010001000010110000000010000001001000000000000001000010001000000101000000000100011000000000110000000000000001001000000001000100010000011000010000000000010010000100000001000000000100100000000000011000000000000000010000010010000000000000001000100000000000000001000000000000000000000000000010000000000000000001101000000000010010110001000000011000000000100001000000001000000000000000001001000101000100000000100100101000000001000000010000100000100000000001000000001000000000000001000010000000000100000000000110000001000001001000000101100000000011000000100000000010000000000000000001010000000000010000100110001000000000000000000100000000000010100000000101000000000001010010000000000000011000000010000000000000001000100100001001100000000100010001010000000000100110000000100000000001000000000000000000001000000001001000000000000100000010000100100000011000000001000000000000100000000001000101000100000000000000010010000000100000001000000100100001000001000000101000000000000000001000010001100000000000001000001"
"Trandolapril","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000000100011000010010000000011001001000000000000000001100000000001000001001000000000010000000000000000000000010001001000110000000100000000011000000000001000010000000000000001000000010000000001000000011001100000000000000000000100001000010000001000100000010000000000010100000000000001100000110000000000000000010000000000000000100010010000000000001000100000100000000000010000000000000000000000000101000101000000000000111000001000000000010000000000100001000011000000001000000000000000000010000000000110000000000010000000001000001000000100100000010101000000000010000010000000000000000000010000000001000000000100001000000000000010000000000000000000110000000001001000000001010010000000000000000011000010110001000000000000101000000010000000000101000000010000010000000110000000000000000000000000000000000000100000000001010000000000001100010110000000100000001010010001000000000000000000000000000001000000000011000000010010000000000011000000001000100000000001000000000001000000000000001000110000100001000000000000010"
"Chlorhexidine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000000000000000010000000100000000001000000000001000010000000000000000001001000000000000000000000000010000000001001000000100000000100000000000000100000000000000100001000000000000000000000000000000000011000000000000000000000000010010000000000000000010000000000000000000000100000000000000000000000000000001000000100000000001000100000000000000000110100000001000000000000000000000000001001000000000000000100001000000000110000001000001000100000000100000000000000000000000000000010000001000010000000000000000000000010000000000000000000000100100000000000000000000001000001010000000000000001010001000001000000000000001000000000000000000000010000000010100000001001000000000001001000000000000000000000010000000000000000000000100000000000000000000000000000001000000000000100001000001110000100000000000000000000000000000001000000000011000000000010000000100010001000010011100000000000000000000000000001000010000000000000000010000000000000000000000000100000001001000000000000010000000001000000010000000000000001000000000"
"Trestolone_acetate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000110000001000000010000000000001000000000000000000000000000000000000001000000000010010000000000000000000000010001001000110000000100000000011000000000000000000010000000000001000000000000000001000000000000000100010000001000000000000000000000000000100000000000000101010100000000000000000000000010000000000000000000000000000000100010000000000000000000001000000000000000000000000010000000000000000000000001000000010010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000010000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000001001000000000010000000000000000000001000010000000000000000000101000001001000000000000000000000000000000000000000000000000000000010000000000000000100000000010000000000000000000000000000100100000000010000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000010000000000000000000000000000000000001000000000000010"
"Tixocortol_pivalate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000110101000000110000100000000010000000000001000000000000000000000000000000000000001000000000010010000000000000001000000010001001000100000000100000000011000000100110000000010100000000101100000000000000100001100000000000100010000001000000000000000000000000000100000001000000101000100000000000000000000000010000000000000000000000000000000100010000000000000000000101000000000000000000000100010000000000000000000000000000000110010001000000010010000000000000000000000000000000000000000000100000000000000000000000000000010000100010000000000000000000000000100000000100000000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000010000100001000000100010010000010000100100000010000010000000000000000000101000001001000000000000000000000000000001000000000000000000000000000000000000000000000000001010000000000000000000000000000100100000000000000000000000000000000000000000000000000010000000000000000000000000000001000000001100000000000100000000000000000000000000000100001000000000000000000000000"
